      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2015-11-24 13:03:33,      0,       0.25,           0,        nan,        0.00,        0.00,        0.00,       0,       0
2015-11-24 13:25:33,    109,       0.49,           0,       0.00,      222.90,        0.00,        0.73,     109,       0
2015-11-24 13:25:34,     75,       0.12,           0,       0.00,      625.00,        0.00,        2.33,      75,       0
2015-11-24 13:25:36,    105,       0.97,           0,       0.00,      107.80,        0.00,        0.50,     105,       0
2015-11-24 13:25:37,    127,       0.18,           0,       0.01,      721.59,        0.00,        5.68,     127,       0
2015-11-24 13:25:39,    117,       0.83,           0,       0.01,      141.30,        0.00,        0.98,     117,       0
2015-11-24 13:25:40,    105,       0.34,           0,       0.00,      308.82,        0.00,        1.45,     105,       0
2015-11-24 13:25:41,     94,       0.41,           0,       0.01,      231.53,        0.00,        1.33,      94,       0
2015-11-24 13:25:42,    100,       0.54,           0,       0.00,      184.50,        0.00,        0.89,     100,       0
2015-11-24 13:25:43,     93,       0.53,           0,       0.00,      174.16,        0.00,        0.63,      93,       0
2015-11-24 13:25:44,    120,       0.61,           0,       0.01,      198.35,        0.00,        1.60,     120,       0
2015-11-24 13:25:45,    115,       0.61,           0,       0.00,      189.77,        0.00,        0.75,     115,       0
2015-11-24 13:26:00,      2,       0.98,           0,       0.00,        2.04,        0.00,        0.00,       2,       0
2015-11-24 13:26:01,     10,       0.21,           0,       0.00,       48.31,        0.00,        0.10,      10,       0
2015-11-24 13:26:02,      2,       0.23,           0,       0.00,        8.81,        0.00,        0.01,       2,       0
2015-11-24 13:26:06,      3,       0.41,           0,       0.00,        7.39,        0.00,        0.00,       3,       0
2015-11-24 13:26:07,      8,       0.58,           0,       0.00,       13.84,        0.00,        0.03,       8,       0
2015-11-24 13:26:08,     10,       0.52,           0,       0.00,       19.16,        0.00,        0.03,      10,       0
2015-11-24 13:26:09,      9,       0.26,           0,       0.00,       34.75,        0.00,        0.05,       9,       0
2015-11-24 13:26:10,      8,       0.42,           0,       0.00,       19.05,        0.00,        0.02,       8,       0
2015-11-24 13:26:11,      5,       0.56,           0,       0.00,        8.99,        0.00,        0.02,       5,       0
2015-11-24 13:26:12,      7,       0.57,           0,       0.00,       12.22,        0.00,        0.01,       7,       0
2015-11-24 13:26:13,      9,       0.59,           0,       0.00,       15.15,        0.00,        0.02,       9,       0
2015-11-24 13:26:14,      6,       0.66,           0,       0.00,        9.13,        0.00,        0.02,       6,       0
2015-11-24 13:26:18,     20,       0.97,           0,       0.01,       20.55,        0.00,        0.13,      20,       0
2015-11-24 13:26:19,     10,       0.30,           0,       0.00,       33.22,        0.00,        0.11,      10,       0
2015-11-24 13:26:33,      9,       0.19,           0,       0.00,       48.13,        0.00,        0.04,       9,       0
2015-11-24 13:26:34,      2,       0.12,           0,       0.00,       17.24,        0.00,        0.02,       2,       0
2015-11-24 13:26:35,     11,       0.33,           0,       0.00,       33.03,        0.00,        0.06,      11,       0
2015-11-24 13:26:36,      7,       0.43,           0,       0.00,       16.17,        0.00,        0.02,       7,       0
2015-11-24 13:26:37,      9,       0.56,           0,       0.00,       15.93,        0.00,        0.02,       9,       0
2015-11-24 13:26:38,      6,       0.51,           0,       0.00,       11.83,        0.00,        0.02,       6,       0
2015-11-24 13:26:39,      9,       0.52,           0,       0.00,       17.18,        0.00,        0.02,       9,       0
2015-11-24 13:26:45,     10,       0.72,           0,       0.06,       13.95,        0.00,        0.86,      10,       0
2015-11-24 13:26:46,     20,       0.44,           0,       0.00,       45.25,        0.00,        0.04,      20,       0
2015-11-24 13:26:47,      8,       0.33,           0,       0.00,       24.10,        0.00,        0.02,       8,       0
2015-11-24 13:26:48,     20,       0.46,           0,       0.00,       43.57,        0.00,        0.05,      20,       0
2015-11-24 13:26:49,      7,       0.56,           0,       0.00,       12.39,        0.00,        0.03,       7,       0
2015-11-24 13:26:50,     10,       0.45,           0,       0.00,       22.32,        0.00,        0.01,      10,       0
2015-11-24 13:26:51,     15,       0.49,           0,       0.00,       30.55,        0.00,        0.02,      15,       0
2015-11-24 13:26:52,     16,       0.51,           0,       0.00,       31.62,        0.00,        0.02,      16,       0
2015-11-24 13:26:53,      5,       0.57,           0,       0.00,        8.74,        0.00,        0.01,       5,       0
2015-11-24 13:27:04,      0,       0.25,           0,        nan,        0.00,        0.00,        0.00,       0,       0
2015-11-24 13:27:05,      0,       0.05,           0,        nan,        0.00,        0.00,        0.00,       0,       0
2015-11-24 13:27:06,      0,       0.05,           0,        nan,        0.00,        0.00,        0.00,       0,       0
2015-11-24 13:27:07,      0,       0.26,           0,        nan,        0.00,        0.00,        0.00,       0,       0
2015-11-24 13:28:13,      8,       0.83,           0,       0.01,        9.64,        0.00,        0.05,       8,       0
2015-11-24 13:28:14,      7,       0.52,           0,       0.00,       13.54,        0.00,        0.06,       7,       0
2015-11-24 13:28:15,      8,       0.59,           0,       0.01,       13.56,        0.00,        0.10,       8,       0
2015-11-24 13:28:16,     15,       0.60,           0,       0.00,       25.17,        0.00,        0.12,      15,       0
2015-11-24 13:28:17,     10,       0.64,           0,       0.01,       15.65,        0.00,        0.08,      10,       0
2015-11-24 13:28:22,      9,       0.63,           0,       0.00,       14.20,        0.00,        0.02,       9,       0
2015-11-24 13:28:25,      9,       0.71,           0,       0.03,       12.71,        0.00,        0.35,       9,       0
2015-11-24 13:28:30,      0,       0.20,           0,        nan,        0.00,        0.00,        0.00,       0,       0
2015-11-24 13:28:46,     10,       0.39,           0,       0.00,       25.84,        0.00,        0.10,      10,       0
2015-11-24 13:28:49,     14,       0.94,           0,       0.00,       14.97,        0.00,        0.03,      14,       0
2015-11-24 13:28:51,     11,       0.56,           0,       0.00,       19.78,        0.00,        0.03,      11,       0
2015-11-24 13:28:52,      7,       0.46,           0,       0.00,       15.22,        0.00,        0.02,       7,       0
2015-11-24 13:28:53,     12,       0.61,           0,       0.00,       19.58,        0.00,        0.05,      12,       0
2015-11-24 13:28:54,      4,       0.52,           0,       0.00,        7.62,        0.00,        0.01,       4,       0
2015-11-24 13:28:55,     15,       0.54,           0,       0.00,       27.73,        0.00,        0.04,      15,       0
2015-11-24 13:28:56,      3,       0.28,           0,       0.00,       10.53,        0.00,        0.01,       3,       0
2015-11-24 13:28:57,      3,       0.41,           0,       0.00,        7.39,        0.00,        0.01,       3,       0
2015-11-24 13:28:58,     17,       0.53,           0,       0.00,       31.84,        0.00,        0.04,      17,       0
2015-11-24 13:29:14,     74,       0.52,           0,       0.00,      141.49,        0.00,        0.30,      74,       0
2015-11-24 13:29:15,     84,       0.38,           0,       0.00,      224.00,        0.00,        0.53,      84,       0
2015-11-24 13:29:16,     98,       0.51,           0,       0.00,      191.41,        0.00,        0.55,      98,       0
